iter	MultiClass
0	2.634132702
1	2.553849228
2	2.470129759
3	2.40617795
4	2.335672568
5	2.250205851
6	2.179540841
7	2.132713062
8	2.07620022
9	2.022874467
10	1.968667252
11	1.912733335
12	1.867203162
13	1.820394631
14	1.783222065
15	1.736660161
16	1.689301061
17	1.655385028
18	1.617850935
19	1.573627757
20	1.537306751
21	1.50413155
22	1.47530573
23	1.440264792
24	1.412525633
25	1.388652908
26	1.359233534
27	1.330144131
28	1.308606541
29	1.285878494
30	1.264041866
31	1.24478457
32	1.222221567
33	1.196256529
34	1.179120024
35	1.154238827
36	1.138577732
37	1.123142928
38	1.101404871
39	1.082218821
40	1.06190133
41	1.040232938
42	1.024285796
43	1.007638395
44	0.989841467
45	0.9755169646
46	0.9595453675
47	0.9432720033
48	0.9297173812
49	0.9147471292
50	0.9015114743
51	0.8866623072
52	0.8715388058
53	0.8584759497
54	0.8464254133
55	0.8326617922
56	0.8222536021
57	0.8103955744
58	0.7974344668
59	0.7870771357
60	0.7762738934
61	0.7664307544
62	0.7522738123
63	0.7411476769
64	0.730698152
65	0.7181642338
66	0.706520327
67	0.6976408654
68	0.6882425295
69	0.67797031
70	0.6679172106
71	0.6588181957
72	0.651641435
73	0.6452470535
74	0.6368835619
75	0.6278886627
76	0.6202619077
77	0.6121442544
78	0.6056112454
79	0.5978890713
80	0.5898861337
81	0.5798603966
82	0.5726302156
83	0.5653887391
84	0.5573647827
85	0.5503509433
86	0.5433302949
87	0.5353343433
88	0.5282869123
89	0.5214873653
90	0.5152289834
91	0.5086059894
92	0.502962034
93	0.4965350086
94	0.4897239156
95	0.4827003459
96	0.4767851245
97	0.4705511276
98	0.4643721348
99	0.4597873851
100	0.453936763
101	0.4480067083
102	0.4427417627
103	0.4382782565
104	0.433433501
105	0.4280044457
106	0.4227307536
107	0.4168637724
108	0.4119919329
109	0.4074280159
110	0.4022786737
111	0.3974311746
112	0.3930095416
113	0.3877950014
114	0.3822754128
115	0.3786915924
116	0.3740727506
117	0.369485745
118	0.3656328135
119	0.3613241454
120	0.3576024441
121	0.3537073919
122	0.3497953701
123	0.3457192718
124	0.3420217885
125	0.3376628421
126	0.3342670053
127	0.3308773544
128	0.3279303642
129	0.3252090662
130	0.3221948789
131	0.3190461118
132	0.3162167948
133	0.3135777206
134	0.3104256287
135	0.3071673905
136	0.3043965121
137	0.3015319378
138	0.298597662
139	0.295708165
140	0.293126444
141	0.290213996
142	0.2877225684
143	0.2854314789
144	0.2828936715
145	0.2805687679
146	0.278438393
147	0.2758651746
148	0.2730780617
149	0.2708742104
150	0.2681544044
151	0.2655105061
152	0.2629451649
153	0.2604618512
154	0.2584364519
155	0.2564505314
156	0.2544388806
157	0.2523015947
158	0.2505757075
