iter	Passed	Remaining
0	61	61481
1	72	36020
2	83	27586
3	92	22923
4	101	20211
5	111	18424
6	121	17226
7	132	16439
8	145	15989
9	156	15539
10	169	15198
11	179	14779
12	189	14403
13	199	14062
14	208	13685
15	218	13410
16	227	13161
17	238	13028
18	250	12912
19	259	12714
20	270	12608
21	279	12423
22	289	12285
23	297	12108
24	308	12019
25	318	11943
26	327	11816
27	336	11694
28	347	11619
29	357	11566
30	368	11512
31	377	11421
32	386	11335
33	396	11278
34	406	11201
35	417	11183
36	427	11134
37	438	11099
38	450	11095
39	460	11049
40	470	11009
41	481	10974
42	492	10960
43	503	10935
44	513	10892
45	522	10830
46	531	10768
47	542	10751
48	552	10713
49	561	10663
50	570	10612
51	582	10613
52	590	10559
53	599	10507
54	609	10467
55	619	10436
56	630	10423
57	640	10399
58	651	10398
59	661	10362
60	671	10335
61	682	10324
62	692	10299
63	702	10280
64	712	10252
65	722	10229
66	732	10198
67	742	10179
68	751	10145
69	761	10111
70	771	10093
71	781	10078
72	792	10057
73	802	10041
74	812	10024
75	822	9993
76	832	9981
77	842	9957
78	853	9944
79	864	9943
80	876	9943
81	887	9930
82	896	9904
83	907	9901
84	918	9885
85	927	9858
86	937	9837
87	946	9806
88	957	9805
89	967	9785
90	977	9766
91	989	9761
92	999	9751
93	1009	9734
94	1018	9704
95	1028	9681
96	1038	9668
97	1047	9641
98	1057	9627
99	1067	9604
100	1077	9588
101	1087	9570
102	1096	9545
103	1105	9523
104	1115	9508
105	1125	9492
106	1136	9486
107	1147	9475
108	1157	9460
109	1168	9454
110	1179	9443
111	1189	9427
112	1199	9417
113	1208	9394
114	1218	9380
115	1229	9367
116	1239	9352
117	1248	9333
118	1258	9320
119	1270	9316
120	1282	9313
121	1290	9289
122	1301	9278
123	1312	9270
124	1322	9259
125	1333	9249
126	1344	9239
127	1354	9229
128	1364	9215
129	1374	9198
130	1385	9188
131	1394	9170
132	1404	9158
133	1415	9147
134	1426	9137
135	1436	9126
136	1446	9108
137	1456	9098
138	1466	9084
139	1476	9072
140	1485	9052
141	1496	9044
142	1506	9031
143	1517	9019
144	1527	9009
145	1537	8992
146	1548	8986
147	1558	8972
148	1568	8959
149	1579	8952
150	1590	8943
151	1600	8929
152	1610	8915
153	1620	8902
154	1630	8889
155	1640	8873
156	1651	8866
157	1662	8857
158	1672	8848
159	1682	8830
160	1691	8813
161	1701	8801
162	1711	8790
163	1720	8771
164	1729	8751
165	1737	8730
166	1748	8719
167	1758	8708
168	1768	8695
169	1779	8689
170	1789	8676
171	1800	8667
172	1811	8661
173	1820	8644
174	1830	8631
175	1839	8613
176	1849	8599
177	1859	8588
178	1870	8578
179	1880	8566
180	1890	8552
181	1900	8541
182	1911	8532
183	1921	8520
184	1929	8502
185	1939	8486
186	1949	8475
187	1959	8465
188	1969	8453
189	1978	8436
190	1989	8428
191	2000	8416
192	2009	8403
193	2019	8388
194	2027	8369
195	2036	8354
196	2047	8345
197	2057	8332
198	2066	8318
199	2077	8311
200	2088	8300
201	2097	8287
202	2108	8276
203	2116	8259
204	2127	8249
205	2138	8241
206	2148	8230
207	2160	8225
208	2170	8213
209	2179	8200
210	2190	8192
211	2199	8176
212	2211	8171
213	2222	8163
214	2233	8155
215	2244	8148
216	2255	8137
217	2265	8128
218	2275	8114
219	2284	8101
220	2295	8089
221	2304	8075
222	2314	8063
223	2323	8050
224	2332	8034
225	2342	8020
226	2352	8011
227	2362	7998
228	2371	7983
229	2380	7968
230	2389	7954
231	2400	7946
232	2410	7936
233	2420	7922
234	2429	7908
235	2439	7897
236	2449	7885
237	2459	7874
238	2470	7866
239	2479	7850
240	2489	7839
241	2497	7823
242	2508	7813
243	2518	7803
244	2529	7794
245	2539	7783
246	2549	7773
247	2561	7765
248	2570	7751
249	2579	7739
250	2589	7726
251	2599	7715
252	2610	7708
253	2622	7702
254	2632	7689
255	2642	7679
256	2653	7671
257	2664	7662
258	2674	7652
259	2685	7643
260	2693	7627
261	2703	7614
262	2713	7603
263	2723	7592
264	2732	7578
265	2742	7568
266	2754	7560
267	2764	7549
268	2773	7536
269	2783	7525
270	2792	7511
271	2801	7497
272	2810	7484
273	2821	7475
274	2832	7468
275	2844	7462
276	2854	7450
277	2864	7439
278	2876	7432
279	2885	7418
280	2894	7406
281	2904	7394
282	2913	7381
283	2923	7370
284	2934	7362
285	2945	7353
286	2955	7341
287	2966	7332
288	2976	7322
289	2986	7311
290	2995	7297
291	3006	7290
292	3015	7276
293	3026	7267
294	3035	7253
295	3044	7240
296	3054	7230
297	3064	7220
298	3074	7208
299	3083	7195
300	3093	7183
301	3103	7174
302	3113	7162
303	3127	7159
304	3138	7151
305	3149	7143
306	3159	7132
307	3169	7121
308	3179	7110
309	3189	7099
310	3198	7086
311	3207	7073
312	3217	7061
313	3228	7053
314	3237	7041
315	3249	7032
316	3258	7020
317	3269	7012
318	3278	6999
319	3287	6986
320	3298	6977
321	3308	6966
322	3318	6956
323	3329	6947
324	3341	6940
325	3352	6930
326	3361	6917
327	3372	6909
328	3381	6896
329	3392	6886
330	3402	6876
331	3412	6866
332	3423	6857
333	3434	6847
334	3444	6837
335	3454	6827
336	3463	6814
337	3474	6806
338	3486	6797
339	3496	6788
340	3508	6781
341	3521	6776
342	3536	6773
343	3549	6768
344	3560	6759
345	3573	6754
346	3588	6753
347	3598	6742
348	3611	6737
349	3623	6729
350	3638	6726
351	3649	6718
352	3659	6707
353	3670	6697
354	3679	6684
355	3689	6673
356	3699	6662
357	3710	6654
358	3721	6644
359	3732	6635
360	3743	6625
361	3754	6617
362	3766	6609
363	3777	6600
364	3787	6588
365	3798	6580
366	3809	6569
367	3819	6559
368	3828	6547
369	3839	6536
370	3848	6524
371	3858	6513
372	3868	6503
373	3878	6492
374	3887	6479
375	3898	6469
376	3911	6463
377	3921	6452
378	3930	6440
379	3942	6431
380	3952	6420
381	3962	6410
382	3972	6400
383	3982	6388
384	3993	6379
385	4002	6366
386	4012	6356
387	4022	6344
388	4030	6331
389	4042	6323
390	4053	6313
391	4063	6303
392	4073	6291
393	4081	6278
394	4092	6268
395	4103	6258
396	4113	6248
397	4124	6238
398	4134	6227
399	4145	6218
400	4155	6206
401	4164	6195
402	4173	6183
403	4184	6172
404	4193	6161
405	4203	6149
406	4212	6137
407	4221	6125
408	4232	6116
409	4242	6105
410	4253	6096
411	4263	6084
412	4272	6073
413	4284	6064
414	4294	6053
415	4304	6042
416	4315	6033
417	4324	6020
418	4334	6011
419	4344	6000
420	4354	5989
421	4364	5977
422	4375	5968
423	4386	5959
424	4396	5948
425	4405	5936
426	4416	5926
427	4425	5914
428	4437	5906
429	4447	5896
430	4458	5886
431	4468	5874
432	4477	5862
433	4486	5851
434	4496	5840
435	4507	5831
436	4517	5819
437	4526	5807
438	4536	5796
439	4545	5785
440	4556	5776
441	4566	5765
442	4576	5754
443	4588	5745
444	4597	5733
445	4606	5721
446	4617	5711
447	4626	5700
448	4637	5690
449	4647	5680
450	4657	5669
451	4667	5658
452	4676	5647
453	4686	5636
454	4697	5627
455	4706	5615
456	4716	5603
457	4725	5591
458	4735	5581
459	4746	5572
460	4757	5562
461	4767	5551
462	4777	5541
463	4786	5529
464	4797	5519
465	4805	5507
466	4814	5494
467	4824	5484
468	4835	5474
469	4845	5464
470	4855	5453
471	4866	5444
472	4877	5434
473	4887	5424
474	4897	5412
475	4906	5400
476	4916	5390
477	4926	5379
478	4936	5368
479	4946	5358
480	4956	5348
481	4968	5339
482	4979	5329
483	4989	5319
484	4998	5308
485	5009	5298
486	5020	5288
487	5030	5277
488	5038	5265
489	5050	5256
490	5060	5245
491	5069	5234
492	5079	5224
493	5089	5213
494	5099	5202
495	5109	5191
496	5119	5181
497	5129	5170
498	5141	5161
499	5151	5151
500	5162	5141
501	5172	5131
502	5183	5121
503	5192	5109
504	5203	5100
505	5213	5089
506	5222	5078
507	5232	5067
508	5242	5057
509	5252	5046
510	5263	5036
511	5273	5026
512	5283	5015
513	5291	5003
514	5301	4992
515	5310	4981
516	5319	4970
517	5329	4959
518	5339	4948
519	5349	4937
520	5358	4926
521	5369	4916
522	5380	4907
523	5389	4895
524	5398	4884
525	5408	4873
526	5418	4863
527	5429	4853
528	5439	4843
529	5448	4831
530	5458	4821
531	5470	4812
532	5480	4802
533	5491	4791
534	5501	4781
535	5512	4771
536	5521	4760
537	5531	4749
538	5541	4739
539	5551	4728
540	5560	4717
541	5571	4707
542	5581	4697
543	5592	4687
544	5602	4676
545	5611	4666
546	5620	4655
547	5631	4644
548	5641	4634
549	5652	4625
550	5662	4614
551	5674	4605
552	5683	4594
553	5692	4582
554	5702	4572
555	5711	4560
556	5720	4549
557	5729	4538
558	5739	4528
559	5749	4517
560	5761	4508
561	5772	4498
562	5781	4487
563	5791	4477
564	5800	4466
565	5810	4455
